"Years","Biological_material","value","total","percentage"
"2014","Serum/blood",11,11,100
"2014","Others",0,11,0
"2015","Serum/blood",83,83,100
"2015","Others",0,83,0
"2016","Serum/blood",68,68,100
"2016","Others",0,68,0
"2017","Serum/blood",11,11,100
"2017","Others",0,11,0
"2018","Serum/blood",321,324,99.0740740740741
"2018","Others",3,324,0.925925925925926
"2019","Serum/blood",102,104,98.0769230769231
"2019","Others",2,104,1.92307692307692
"2020","Serum/blood",39,39,100
"2020","Others",0,39,0
"2021","Serum/blood",366,366,100
"2021","Others",0,366,0
"2022","Serum/blood",104,105,99.047619047619
"2022","Others",1,105,0.952380952380952
"2023","Serum/blood",976,978,99.7955010224949
"2023","Others",2,978,0.204498977505113
"2024","Serum/blood",14713,14891,98.8046471022765
"2024","Others",178,14891,1.19535289772346
"2025","Serum/blood",12442,13106,94.9336181901419
"2025","Others",664,13106,5.06638180985808
